whc_id;nombre;pais;categoria;criterios;lat;lon;n_componentes
751;Verla;Finland;cultural;(iv);61.061992;26.640016;1
753;Iles Purpuraires;Morocco;cultural;(ii) (iv);31.497222222222;-9.7866666666667;3
754;Lake Baikal;Russia;natural;(vii) (viii) (ix) (x);53.30277778;108.00472222;1
755;Historic Centre of Porto;Portugal;cultural;(iv);41.143191;-8.612974;1
757;Skellig Michael;Ireland;cultural;(iii) (iv);51.771111111111;-10.540555555556;1
758;Pannonhalma Archabbey;Hungary;cultural;(iv) (vi);47.552777777778;17.761111111111;1
759;Fort bij Nigtevecht;Netherlands;cultural;(ii) (iv) (v);52.275;5.01722;28
761;Kunta Kinteh Island;The Gambia;cultural;(iii) (vi);13.31753;-16.36144;9
762;Gammelstad Church Town;Sweden;cultural;(ii) (iv) (v);65.64611;22.02861;1
763;Lednice-Valtice Cultural Landscape;Czech Republic;cultural;(i) (ii) (iv);48.7758;16.775;1
764;Great Blue Hole;Belize;natural;(vii) (ix) (x);17.31556;-87.53444;8
765;Nalychevo Nature Park;Russia;natural;(vii) (viii) (ix) (x);53.5;158.83333333333;12
766;Central Sikhote-Alin;Russia;natural;(x);46.68333;136.66111;2
768;Golden Mountains of Altai;Russia;natural;(x);50.466666666667;86.0;5
769;Uvs Lake;Russia;natural;(ix) (x);50.3;92.7;17
770;Canal du Midi;France;cultural;(i) (ii) (iv) (vi);43.61111111;1.41833333;1
772;Fertö / Neusiedlersee Cultural Landscape;Hungary;cultural;(v);47.80055556;16.73472222;2
773;Pyrénées – Mont Perdu World Heritage Site;Spain;mixto;(iii) (iv) (v) (vii) (viii);42.65;0.05;4
774;Laponian National Park;Sweden;mixto;(iii) (v) (vii) (viii) (ix);67.33333;17.58333;2
775;Hiroshima Peace Memorial;Japan;cultural;(vi);34.395555555556;132.45361111111;1
776;Itsukushima Shrine;Japan;cultural;(i) (ii) (iv) (vi);34.29577;132.320105;1
777;Sanahin Bridge;Armenia;cultural;(ii) (iv);41.099;44.657555555556;4
778;Lushan Quaternary Glaciation National Geopark;People's Republic of China;cultural;(ii) (iii) (iv) (vi);29.56666667;115.96666667;1
779;Mount Emei;People's Republic of China;mixto;(iv) (vi) (x);29.519722222222;103.3325;3
780;Aigai;Greece;cultural;(i) (iii);40.4779658;22.3227596;1
781;Recinto Intramuros de Cuenca;Spain;cultural;(ii);40.07661;-2.13175;5
782;Llotja de la Seda;Spain;cultural;(i) (iv);39.474444444444;-0.37833333333333;1
783;Melanchthonhaus;Germany;cultural;(iv) (vi);51.86472;12.65083;7
784;Historic Centre of the City of Salzburg;Austria;cultural;(ii) (iv) (vi);47.7997;13.0486;1
785;Semmering railway;Austria;cultural;(ii) (iv);47.643;15.831;1
786;Palace and gardens of Schönbrunn;Austria;cultural;(i) (iv);48.18667;16.31333;1
787;Piazza del Mercato;Italy;cultural;(iii) (iv) (v);40.784;17.2373;7
788;Mausoleum of Theodoric;Italy;cultural;(i) (ii) (iii) (iv);44.4250456;12.2091687;12
789;Historic Centre of the City of Pienza;Italy;cultural;(i) (ii) (iv);43.0766;11.679;1
790;Panamá Viejo;Panama;cultural;(ii) (iv) (vi);9.0068286;-79.485149;4
791;Kabah;Mexico;cultural;(i) (ii) (iii);20.248425;-89.647297222222;5
792;Historic Monuments Zone of Querétaro;Mexico;cultural;(ii) (iv);20.58333333;-100.3666667;1
793;Medina of Meknes;Morocco;cultural;(iv);33.894857;-5.564481;3
794;Dougga;Tunisia;cultural;(ii) (iii);36.42333333;9.22027778;1
795;Maritime Greenwich;United Kingdom;cultural;(i) (ii) (iv) (vi);51.47777778;0.0;1
797;Verona historic center;Italy;cultural;(ii) (iv);45.438611111111;10.993888888889;2
798;Sundarbans Reserved Forest;Bangladesh;natural;(ix) (x);22.033333333333;89.516666666667;1
800;Mount Kenya National Park;Kenya;natural;(vii) (ix);-0.12388888888889;37.336666666667;2
801;Central Island;Kenya;natural;(viii) (x);3.5;36.05;6
803;Las Médulas;Spain;cultural;(i) (ii) (iii) (iv);42.458699;-6.759002;5
804;Palau de la Música Catalana;Spain;cultural;(i) (ii) (iv);41.387666666667;2.1752777777778;6
805;Monasteries of San Millán de la Cogolla;Spain;cultural;(ii) (iv) (vi);42.325833333333;-2.86505;3
806;Hallstatt-Dachstein Salzkammergut cultural landscape;Austria;cultural;(iii) (iv);47.5594;13.6464;1
809;Euphrasian Basilica;Croatia;cultural;(ii) (iii) (iv);45.228611111111;13.593611111111;1
810;Historic City of Trogir;Croatia;cultural;(ii) (iv);43.5125;16.25167;1
811;Black Dragon Pool;People's Republic of China;cultural;(ii) (iv) (v);26.88760833;100.233275;5
812;Pingyao;People's Republic of China;cultural;(ii) (iii) (iv);37.198888888889;112.17666666667;4
813;Humble Administrator's Garden;People's Republic of China;cultural;(i) (ii) (iii) (iv) (v);31.325833333333;120.62444444444;11
814;Morne Trois Pitons National Park;Dominica;natural;(viii) (x);15.266667;-61.283333;1
815;Hospicio Cabañas;Mexico;cultural;(i) (ii) (iii) (iv);20.676897222222;-103.33733333333;1
816;Changdeokgung;South Korea;cultural;(ii) (iii) (iv);37.579444444444;126.99166666667;1
817;Hwaseong Fortress;South Korea;cultural;(ii) (iii);37.280733333333;127.01020277778;1
818;Windmills at Kinderdijk;Netherlands;cultural;(i) (ii) (iv);51.88861;4.63472;1
819;Historic Area of Willemstad, Inner City and Harbour, Curaçao;Curaçao;cultural;(ii) (iv) (v);12.106141;-68.934201;1
820;Cocos Island National Park;Costa Rica;natural;(ix) (x);5.53333;-87.0667;2
821;Historic Centre of São Luís;Brazil;cultural;(iii) (iv) (v);-2.5277331402987;-44.305795125042;1
822;Tallinn Old Town;Estonia;cultural;(ii) (iv);59.437222222222;24.745277777778;1
